producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
mProject,1.0,stage_out-mProject,1.5,tmpfs,2,tmpfs,11,1.7841554226710784e-06,1.7841554226710784e-06,0.0
mProject,1.0,stage_out-mProject,1.5,tmpfs,2,tmpfs,15,1.7841554226710784e-06,1.7841554226710784e-06,0.0
mProject,1.0,stage_out-mProject,1.5,tmpfs,2,tmpfs,16,1.7841554226710784e-06,1.7841554226710784e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,ssd,1,ssd,1,3.382832125080852e-06,3.382832125080852e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,ssd,1,ssd,2,3.382832125080852e-06,3.382832125080852e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,ssd,1,ssd,3,3.382832125080852e-06,3.382832125080852e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,ssd,1,ssd,4,3.382832125080852e-06,3.382832125080852e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,ssd,1,ssd,6,3.382832125080852e-06,3.382832125080852e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,ssd,1,ssd,11,3.382832125080852e-06,3.382832125080852e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,ssd,1,ssd,15,3.382832125080852e-06,3.382832125080852e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,ssd,1,ssd,16,3.382832125080852e-06,3.382832125080852e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,tmpfs,1,tmpfs,1,3.386419468326646e-06,3.386419468326646e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,tmpfs,1,tmpfs,2,3.386419468326646e-06,3.386419468326646e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,tmpfs,1,tmpfs,3,3.386419468326646e-06,3.386419468326646e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,tmpfs,1,tmpfs,4,3.386419468326646e-06,3.386419468326646e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,tmpfs,1,tmpfs,6,3.386419468326646e-06,3.386419468326646e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,tmpfs,1,tmpfs,11,3.386419468326646e-06,3.386419468326646e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,tmpfs,1,tmpfs,15,3.386419468326646e-06,3.386419468326646e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,tmpfs,1,tmpfs,16,3.386419468326646e-06,3.386419468326646e-06,0.0
mBgModel,1.0,stage_out-mBgModel,1.5,tmpfs,1,tmpfs-tmpfs,1,3.950790377339547e-06,3.153292173832882e-08,3.919257455601218e-06
mBgModel,1.0,stage_out-mBgModel,1.5,ssd,1,ssd-ssd,1,4.049381917684245e-06,1.146308292286676e-07,3.934751088455578e-06
mProject,1.0,stage_out-mProject,1.5,beegfs,2,beegfs,1,5.164099380083447e-06,5.164099380083447e-06,0.0
mProject,1.0,stage_out-mProject,1.5,beegfs,2,beegfs,2,5.164099380083447e-06,5.164099380083447e-06,0.0
mProject,1.0,stage_out-mProject,1.5,beegfs,2,beegfs,3,5.164099380083447e-06,5.164099380083447e-06,0.0
mProject,1.0,stage_out-mProject,1.5,beegfs,2,beegfs,4,5.164099380083447e-06,5.164099380083447e-06,0.0
mProject,1.0,stage_out-mProject,1.5,beegfs,2,beegfs,6,5.164099380083447e-06,5.164099380083447e-06,0.0
mProject,1.0,stage_out-mProject,1.5,beegfs,2,beegfs,11,5.164099380083447e-06,5.164099380083447e-06,0.0
mProject,1.0,stage_out-mProject,1.5,beegfs,2,beegfs,15,5.164099380083447e-06,5.164099380083447e-06,0.0
mProject,1.0,stage_out-mProject,1.5,beegfs,2,beegfs,16,5.164099380083447e-06,5.164099380083447e-06,0.0
mAdd,1.0,stage_out-mAdd,1.5,beegfs,1,beegfs,1,1.4788669726858594e-05,1.4788669726858594e-05,0.0
mAdd,1.0,stage_out-mAdd,1.5,beegfs,1,beegfs,2,1.4788669726858594e-05,1.4788669726858594e-05,0.0
mAdd,1.0,stage_out-mAdd,1.5,beegfs,1,beegfs,3,1.4788669726858594e-05,1.4788669726858594e-05,0.0
mAdd,1.0,stage_out-mAdd,1.5,beegfs,1,beegfs,4,1.4788669726858594e-05,1.4788669726858594e-05,0.0
mAdd,1.0,stage_out-mAdd,1.5,beegfs,1,beegfs,6,1.4788669726858594e-05,1.4788669726858594e-05,0.0
mAdd,1.0,stage_out-mAdd,1.5,beegfs,1,beegfs,11,1.4788669726858594e-05,1.4788669726858594e-05,0.0
mAdd,1.0,stage_out-mAdd,1.5,beegfs,1,beegfs,15,1.4788669726858594e-05,1.4788669726858594e-05,0.0
mAdd,1.0,stage_out-mAdd,1.5,beegfs,1,beegfs,16,1.4788669726858594e-05,1.4788669726858594e-05,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,tmpfs,15,tmpfs,1,0.00018322622731690145,0.00018322622731690145,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,tmpfs,15,tmpfs,2,0.00018322622731690145,0.00018322622731690145,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,tmpfs,15,tmpfs,3,0.00018322622731690145,0.00018322622731690145,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,tmpfs,15,tmpfs,4,0.00018322622731690145,0.00018322622731690145,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,tmpfs,15,tmpfs,6,0.00018322622731690145,0.00018322622731690145,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,tmpfs,15,tmpfs,11,0.00018322622731690145,0.00018322622731690145,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,tmpfs,15,tmpfs,15,0.00018322622731690145,0.00018322622731690145,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,tmpfs,15,tmpfs,16,0.00018322622731690145,0.00018322622731690145,0.0
mProject,1.0,stage_out-mProject,1.5,tmpfs,2,tmpfs-tmpfs,1,0.0011864847014885502,1.7841554226710784e-06,0.001184700546065879
mProject,1.0,stage_out-mProject,1.5,ssd,2,ssd-ssd,1,0.0011911545021389006,1.770590534768625e-06,0.001189383911604132
mBackground,1.0,stage_out-mBackground,1.5,tmpfs,2,tmpfs,1,0.001713088047804686,0.001713088047804686,0.0
mBackground,1.0,stage_out-mBackground,1.5,tmpfs,2,tmpfs,2,0.001713088047804686,0.001713088047804686,0.0
mBackground,1.0,stage_out-mBackground,1.5,tmpfs,2,tmpfs,3,0.001713088047804686,0.001713088047804686,0.0
mBackground,1.0,stage_out-mBackground,1.5,tmpfs,2,tmpfs,4,0.001713088047804686,0.001713088047804686,0.0
mBackground,1.0,stage_out-mBackground,1.5,tmpfs,2,tmpfs,6,0.001713088047804686,0.001713088047804686,0.0
mBackground,1.0,stage_out-mBackground,1.5,tmpfs,2,tmpfs,11,0.001713088047804686,0.001713088047804686,0.0
mBackground,1.0,stage_out-mBackground,1.5,tmpfs,2,tmpfs,15,0.001713088047804686,0.001713088047804686,0.0
